Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,458.000,unsafe
FlowCalculator_S,3,446.333,safe
DivisionCalculator,4,461.500,unsafe
FuelEfficiencyAnalyzer,4,460.250,unsafe
FlowCalculator,4,456.000,unsafe
DensityEvaluator,3,457.333,unsafe
FuelEfficiencyAnalyzer_S,3,443.333,safe
HeatPredictor,4,446.500,unsafe
RiskScoreCalculator,3,460.000,unsafe
VoltageCalculator,2,460.500,unsafe
HeatPredictor_S,4,463.000,safe
PressureEvaluator,3,478.667,unsafe
SpeedEstimator,5,475.000,unsafe
RiskScoreCalculator_S,3,491.000,safe
SensorCalibrator,4,465.500,unsafe
MemoryAllocator,4,473.250,unsafe
RenderEngine,5,472.600,safe
TrafficController,4,469.500,safe
ProductionScheduler,4,475.500,safe
DataCompressor,4,478.250,unsafe
CompressionRatio,5,468.000,unsafe
PerformanceRater,6,475.500,safe
StudentGrader,9,469.111,unsafe
PaymentProcessor,4,477.500,unsafe
ShippingCalculator,3,465.667,unsafe
SpeedCalculator,4,458.000,unsafe
AreaCalculator,3,463.333,unsafe
SpeedCalculator_S,4,458.000,safe
TaxCalculator,4,463.750,unsafe
EnergyMonitor,1,477.000,unsafe
ScoreCalculator,4,469.000,unsafe
ResourceAllocator,4,460.750,unsafe
TemperatureConverter,2,520.000,unsafe
