Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,461.000,unsafe
FlowCalculator_S,3,460.333,safe
DivisionCalculator,4,467.000,unsafe
FuelEfficiencyAnalyzer,4,465.000,unsafe
FlowCalculator,4,453.750,unsafe
DensityEvaluator,3,465.333,unsafe
FuelEfficiencyAnalyzer_S,3,449.333,safe
HeatPredictor,4,455.250,unsafe
RiskScoreCalculator,3,458.667,unsafe
VoltageCalculator,2,457.000,unsafe
HeatPredictor_S,4,457.500,safe
PressureEvaluator,3,470.333,unsafe
SpeedEstimator,5,467.400,unsafe
RiskScoreCalculator_S,3,475.000,safe
SensorCalibrator,4,472.250,unsafe
MemoryAllocator,4,477.500,unsafe
RenderEngine,5,481.800,safe
TrafficController,4,466.000,safe
ProductionScheduler,4,468.750,safe
DataCompressor,4,479.500,unsafe
CompressionRatio,5,465.600,unsafe
PerformanceRater,6,461.500,safe
StudentGrader,9,468.111,unsafe
PaymentProcessor,4,471.750,unsafe
ShippingCalculator,3,477.333,unsafe
SpeedCalculator,4,460.750,unsafe
AreaCalculator,3,477.333,unsafe
SpeedCalculator_S,4,463.000,safe
TaxCalculator,4,460.000,unsafe
EnergyMonitor,1,459.000,unsafe
ScoreCalculator,4,456.750,unsafe
ResourceAllocator,4,464.250,unsafe
TemperatureConverter,1,552.000,unsafe
